pm10_s0,pm10_s1,pm10_s2,pm10_s3,pm10_lag1_s0,pm10_lag1_s1,pm10_lag1_s2,pm10_lag1_s3,pm10_lag2_s0,pm10_lag2_s1,pm10_lag2_s2,pm10_lag2_s3,pm10_lag3_s0,pm10_lag3_s1,pm10_lag3_s2,pm10_lag3_s3,wind_speed,humidity,temp,machine_on,target_pm10
231.35840620742206,378.391371526753,467.10272898727084,536.9680552939069,174.42374449698724,269.76938878139686,326.87415166026636,357.97199750404894,111.48578152480961,174.92827847549898,196.55204522013284,196.6080032248766,42.472407130841745,77.04285838459498,63.919636508684306,55.919509051822196,2.696150663899673,48.5,22.150000000000002,1.0,481.7584778070404
265.3464088522072,481.7584778070404,613.7134404086189,726.0958329862549,231.35840620742206,378.391371526753,467.10272898727084,536.9680552939069,174.42374449698724,269.76938878139686,326.87415166026636,357.97199750404894,111.48578152480961,174.92827847549898,196.55204522013284,196.6080032248766,3.1793161400737824,50.0,22.200000000000003,1.0,580.8946999577813
302.2398109149226,580.8946999577813,781.0290228969633,933.0310782812027,265.3464088522072,481.7584778070404,613.7134404086189,726.0958329862549,231.35840620742206,378.391371526753,467.10272898727084,536.9680552939069,174.42374449698724,269.76938878139686,326.87415166026636,357.97199750404894,2.8198083930243585,51.5,22.250000000000004,1.0,671.2113871626566
335.1497310121209,671.2113871626566,950.8205645986978,1147.969939962633,302.2398109149226,580.8946999577813,781.0290228969633,933.0310782812027,265.3464088522072,481.7584778070404,613.7134404086189,726.0958329862549,231.35840620742206,378.391371526753,467.10272898727084,536.9680552939069,2.9983416413039623,53.0,22.300000000000004,1.0,772.5369062655542
367.4806938330389,772.5369062655542,1133.0888175458238,1393.8443079269123,335.1497310121209,671.2113871626566,950.8205645986978,1147.969939962633,302.2398109149226,580.8946999577813,781.0290228969633,933.0310782812027,265.3464088522072,481.7584778070404,613.7134404086189,726.0958329862549,2.601544185330471,54.5,22.350000000000005,1.0,874.2359548879485
393.3551611845054,874.2359548879485,1317.40442352268,1655.42887150603,367.4806938330389,772.5369062655542,1133.0888175458238,1393.8443079269123,335.1497310121209,671.2113871626566,950.8205645986978,1147.969939962633,302.2398109149226,580.8946999577813,781.0290228969633,933.0310782812027,2.525011735938934,54.0,22.400000000000006,1.0,954.7732201673043
404.43197178837926,954.7732201673043,1496.0087849422607,1935.0630256711047,393.3551611845054,874.2359548879485,1317.40442352268,1655.42887150603,367.4806938330389,772.5369062655542,1133.0888175458238,1393.8443079269123,335.1497310121209,671.2113871626566,950.8205645986978,1147.969939962633,3.0972251908184383,53.5,22.450000000000006,1.0,1019.6607800159981
409.1411016205408,1019.6607800159981,1666.7657636246622,2224.3039461552607,404.43197178837926,954.7732201673043,1496.0087849422607,1935.0630256711047,393.3551611845054,874.2359548879485,1317.40442352268,1655.42887150603,367.4806938330389,772.5369062655542,1133.0888175458238,1393.8443079269123,3.226499339173421,53.0,22.500000000000007,1.0,1090.6276206503358
423.3666869212123,1090.6276206503358,1832.1831388155556,2527.637105842594,409.1411016205408,1019.6607800159981,1666.7657636246622,2224.3039461552607,404.43197178837926,954.7732201673043,1496.0087849422607,1935.0630256711047,393.3551611845054,874.2359548879485,1317.40442352268,1655.42887150603,2.856247728646413,54.5,22.550000000000008,1.0,1140.9885165501496
433.09049570229473,1140.9885165501496,1995.2715639098913,2833.5072961372266,423.3666869212123,1090.6276206503358,1832.1831388155556,2527.637105842594,409.1411016205408,1019.6607800159981,1666.7657636246622,2224.3039461552607,404.43197178837926,954.7732201673043,1496.0087849422607,1935.0630256711047,3.0889684152986914,56.0,22.60000000000001,1.0,1189.4891520628994
448.9150958606802,1189.4891520628994,2148.4380200857386,3129.183874831313,433.09049570229473,1140.9885165501496,1995.2715639098913,2833.5072961372266,423.3666869212123,1090.6276206503358,1832.1831388155556,2527.637105842594,409.1411016205408,1019.6607800159981,1666.7657636246622,2224.3039461552607,2.9892521882670144,57.5,22.65000000000001,1.0,1232.3209211651906
446.52452233835413,1232.3209211651906,2293.953583211419,3424.041398836933,448.9150958606802,1189.4891520628994,2148.4380200857386,3129.183874831313,433.09049570229473,1140.9885165501496,1995.2715639098913,2833.5072961372266,423.3666869212123,1090.6276206503358,1832.1831388155556,2527.637105842594,3.312747485201826,59.0,22.70000000000001,1.0,1279.3883429669013
