time,load_factor,temperature,ripple,label_life,label_thermal
0,0.5621780831931538,68.85325729639364,1.701512856639463,101.49243571680269,0.0
1,0.9655000144869412,80.22347402175623,1.7975102525420907,101.01244873728955,0.0
2,0.8123957592679836,76.67610143317025,2.2749079196694497,98.62546040165275,0.0
3,0.7190609389379257,73.10218804253873,1.868092784625812,100.65953607687094,0.0
4,0.40921304830970556,67.34997915615949,2.2637853565368795,98.6810732173156,0.0
5,0.40919616423534183,68.75443049306135,3.099720794769641,94.5013960261518,0.0
6,0.3406585285177396,66.20178532296617,1.7173406656146737,101.41329667192663,0.0
7,0.9063233020424546,77.88696411882735,1.9773188833718203,100.1134055831409,0.0
8,0.7207805082202461,74.60202633414897,2.580040303011584,97.09979848494208,0.0
9,0.7956508044572318,77.80345677430041,1.6610373451961675,101.69481327401917,0.0
10,0.3144091460070617,67.05702259611013,2.036444508735376,99.81777745632311,0.0
11,0.978936896513396,79.94185355801244,1.7362678932587978,101.31866053370601,0.0
12,0.8827098485602951,75.76454767910975,2.1952769387568107,99.02361530621594,0.0
13,0.44863737747479326,70.26339201041841,3.0295086273822163,94.85245686308892,0.0
14,0.42727747704497043,67.44327980044355,1.8238344094718673,100.88082795264066,0.0
15,0.4283831568974037,68.65436083736247,2.1978773594772547,99.01061320261373,0.0
16,0.5129695700716763,70.45096879762762,2.208612648485915,98.95693675757042,0.0
17,0.6673295021425665,74.79389574224314,2.2956627504145515,98.52168624792725,0.0
18,0.602361513049481,70.99757476207968,2.324711004695163,98.37644497652418,0.0
19,0.5038603981386294,71.71782252626087,2.7171814797236036,96.41409260138198,0.0
20,0.7282970263056656,73.44244649287371,3.630650644228967,91.84674677885516,0.0
21,0.3976457024564293,65.87081534593959,2.1527556056435815,99.23622197178209,0.0
22,0.5045012539746527,69.54182478132628,2.3181959316425136,98.40902034178742,0.0
23,0.5564532903055841,70.35445083609311,3.0097169937013333,94.95141503149333,0.0
24,0.619248988951925,71.91371603833598,1.2111408900220424,103.94429554988979,0.0
25,0.8496231729751094,77.7435629140095,1.0919082868578478,104.54045856571076,0.0
26,0.4397716475108518,68.8238905314002,1.010336212504148,104.94831893747926,0.0
27,0.6599641068895281,72.87898433325392,1.0279154558944663,104.86042272052767,0.0
