lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,target
100.49671415301123,100.24274040452673,101.40376820960526,102.64241852947707,101.23112766760184,101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305
100.24274040452673,101.40376820960526,102.64241852947707,101.23112766760184,101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086
101.40376820960526,102.64241852947707,101.23112766760184,101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092
102.64241852947707,101.23112766760184,101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209
101.23112766760184,101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311
101.55424382495326,103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956
103.66288416332348,103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371
103.11400949251532,102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371,102.9323161941864
102.10354943061112,103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371,102.9323161941864,101.49360574289625
103.30208624602906,102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371,102.9323161941864,101.49360574289625,100.73643271154587
102.43980190612305,102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371,102.9323161941864,101.49360574289625,100.73643271154587,103.32910462589908
102.53618705367086,103.29610251691092,101.14586500569209,101.29201398974311,102.36595709471956,101.78173011714371,102.9323161941864,101.49360574289625,100.73643271154587,103.32910462589908,101.32458982692373
